REDC,County,Light-Duty Vehicles,BEVs on the Road,PHEVs on the Road,EVs on the Road,Level 2 Ports,DCFC Ports,LDVs per 1k People,BEVs per 1k People,PHEVs per 1k People,BEVS per DCFC Ports,EVs per Level 2 Port,LD EV Market Share (%)
North Country,Hamilton County,3092.0,7.0,20.0,27.0,12.0,0.0,935.84,2.12,6.05,0.0,2.25,0.25
Finger Lakes,Wayne County,50474.0,226.0,252.0,478.0,50.0,1.0,533.78,2.39,2.67,226.0000000000001,9.56,0.22
Central New York,Cortland County,21019.0,91.0,135.0,226.0,15.0,12.0,438.22,1.9,2.81,7.58333333333334,15.07,0.21
North Country,Franklin County,24284.0,66.0,113.0,179.0,61.0,3.0,488.23,1.33,2.27,22.0,2.93,0.21
Mohawk Valley,Schoharie County,16575.0,57.0,88.0,145.0,10.0,0.0,539.34,1.85,2.86,0.0,14.5,0.21
Finger Lakes,Orleans County,18894.0,59.0,68.0,127.0,12.0,0.0,473.19,1.48,1.7,0.0,10.58,0.21
Mohawk Valley,Fulton County,24867.0,71.0,125.0,196.0,31.0,0.0,503.18,1.44,2.53,0.0,6.32,0.2
Capital Region,Washington County,34390.0,96.0,178.0,274.0,14.0,4.0,532.41,1.49,2.76,24.0,19.57,0.19
Finger Lakes,Livingston County,31546.0,127.0,155.0,282.0,59.0,2.0,488.42,1.97,2.4,63.50000000000003,4.78,0.19
Mohawk Valley,Herkimer County,28790.0,80.0,96.0,176.0,26.0,8.0,484.03,1.34,1.61,10.0,6.77,0.18
Central New York,Cayuga County,36079.0,111.0,172.0,283.0,21.0,0.0,479.24,1.47,2.28,0.0,13.48,0.18
Southern Tier,Chenango County,24338.0,54.0,103.0,157.0,6.0,0.0,498.17,1.11,2.11,0.0,26.17,0.18
Western New York,Cattaraugus County,36160.0,55.0,97.0,152.0,18.0,12.0,494.67,0.75,1.33,4.583333333333333,8.44,0.15
North Country,Lewis County,15936.0,18.0,34.0,52.0,6.0,0.0,631.1,0.71,1.35,0.0,8.67,0.14
Western New York,Allegany County,20880.0,37.0,72.0,109.0,7.0,1.0,454.62,0.81,1.57,37.0,15.57,0.13
Finger Lakes,Wyoming County,21215.0,40.0,60.0,100.0,8.0,0.0,525.29,0.99,1.49,0.0,12.5,0.08
