,Year,Manufacturer,Model,barrels08,charge240,cityA08U,cityCD,cityE,cityUF,co2A,combA08U,combE,combinedCD,combinedUF,cylinders,feScore,fuelCostA08,fuelType2,ghgScoreA,highwayA08U,highwayCD,highwayE,highwayUF,id,phevBlended,charge240b
75,2020,Tesla,Model 3 Long Range,0.0624,10.0,136.0,0.0,24.0,0.0,0.0,130.0,25.0,0.0,0.0,,10,550.0,Electricity,10,123.0,0.0,27.0,0.0,42274,False,8.0
76,2020,Tesla,Model 3 Mid Range,0.0648,10.0,127.0,0.0,26.0,0.0,0.0,122.0,27.0,0.0,0.0,,10,600.0,Electricity,10,116.0,0.0,28.0,0.0,42276,False,8.0
77,2020,Tesla,Model 3 Long Range Performance AWD (19in),0.0696,10.0,118.0,0.0,28.0,0.0,0.0,115.0,29.0,0.0,0.0,,10,600.0,Electricity,10,112.0,0.0,30.0,0.0,42280,False,8.0
78,2021,Porsche,Taycan Perf Battery,0.0984,9.0,76.0,0.0,43.0,0.0,0.0,79.0,41.0,0.0,0.0,,10,850.0,Electricity,10,84.0,0.0,39.0,0.0,43802,False,0.0
79,2022,Nissan,Leaf (40 kW-hr battery pack),0.072,8.0,122.0,0.0,27.0,0.0,0.0,110.0,30.0,0.0,0.0,,10,650.0,Electricity,10,98.0,0.0,34.0,0.0,44446,False,0.0
80,2021,Porsche,Taycan 4S Cross Turismo,0.108,10.0,75.0,0.0,44.0,0.0,0.0,75.0,45.0,0.0,0.0,,10,950.0,Electricity,10,75.0,0.0,45.0,0.0,44722,False,0.0
81,2021,Porsche,Taycan Turbo Cross Turismo,0.1128,10.0,71.0,0.0,46.0,0.0,0.0,71.0,46.0,0.0,0.0,,10,1000.0,Electricity,10,71.0,0.0,46.0,0.0,44724,False,0.0
82,2022,Audi,RS e-tron GT,0.1008,10.0,79.0,0.0,42.0,0.0,0.0,80.0,41.0,0.0,0.0,,10,900.0,Electricity,10,81.0,0.0,41.0,0.0,44783,False,0.0
83,2022,Porsche,Taycan 4S Perf Battery,0.1008,9.0,78.0,0.0,42.0,0.0,0.0,79.0,42.0,0.0,0.0,,10,900.0,Electricity,10,80.0,0.0,42.0,0.0,44787,False,0.0
84,2022,Porsche,Taycan 4S Cross Turismo,0.108,10.0,75.0,0.0,44.0,0.0,0.0,75.0,45.0,0.0,0.0,,10,950.0,Electricity,10,75.0,0.0,45.0,0.0,44794,False,0.0
85,2022,Porsche,Taycan Turbo Cross Turismo,0.1128,10.0,71.0,0.0,46.0,0.0,0.0,71.0,46.0,0.0,0.0,,10,1000.0,Electricity,10,71.0,0.0,46.0,0.0,44795,False,0.0
86,2023,Chevrolet,Bolt EUV,0.0696,7.0,124.0,0.0,27.0,0.0,0.0,114.0,29.0,0.0,0.0,,10,600.0,Electricity,10,104.0,0.0,32.0,0.0,45750,False,0.0
87,2023,Polestar,2 BST edition,0.0864,8.0,98.0,0.0,34.0,0.0,0.0,94.0,35.0,0.0,0.0,,10,750.0,Electricity,10,90.0,0.0,37.0,0.0,45752,False,0.0
88,2023,Porsche,Taycan 4S Cross Turismo,0.1032,10.0,78.0,0.0,42.0,0.0,0.0,78.0,42.0,0.0,0.0,,10,900.0,Electricity,10,78.0,0.0,42.0,0.0,46019,False,0.0
89,2023,Porsche,Taycan Turbo S Cross Turismo,0.108,10.0,76.0,0.0,43.0,0.0,0.0,75.0,44.0,0.0,0.0,,10,950.0,Electricity,10,74.0,0.0,45.0,0.0,46029,False,0.0
90,2023,Hyundai,Ioniq 6 Standard Range RWD,0.06,6.0,151.0,0.0,21.0,0.0,0.0,135.0,25.0,0.0,0.0,,10,500.0,Electricity,10,120.0,0.0,28.0,0.0,46624,False,0.0
91,2017,Nissan,Leaf,0.072,6.0,123.0,0.0,27.0,0.0,0.0,112.0,29.0,0.0,0.0,,10,650.0,Electricity,10,101.0,0.0,33.0,0.0,38428,False,0.0
92,2018,Hyundai,Ioniq Electric,0.06,4.0,150.0,0.0,22.0,0.0,0.0,136.0,25.0,0.0,0.0,,10,500.0,Electricity,10,122.0,0.0,28.0,0.0,39641,False,0.0
93,2017,Tesla,Model 3 Long Range,0.0648,12.0,130.0,0.0,25.0,0.0,0.0,125.0,26.0,0.0,0.0,,10,550.0,Electricity,10,119.0,0.0,28.0,0.0,39769,False,8.0
94,2018,Honda,Clarity EV,0.072,4.0,125.0,0.0,26.0,0.0,0.0,114.0,29.0,0.0,0.0,,10,600.0,Electricity,10,102.0,0.0,32.0,0.0,40044,False,0.0
95,2019,Chevrolet,Bolt EV,0.0672,9.0,127.0,0.0,26.0,0.0,0.0,119.0,28.0,0.0,0.0,,10,600.0,Electricity,10,110.0,0.0,30.0,0.0,40520,False,0.0
96,2019,Kia,Niro Electric,0.072,9.0,123.0,0.0,27.0,0.0,0.0,112.0,30.0,0.0,0.0,,10,650.0,Electricity,10,101.0,0.0,33.0,0.0,41060,False,0.0
97,2019,Honda,Clarity EV,0.072,4.0,125.0,0.0,26.0,0.0,0.0,114.0,29.0,0.0,0.0,,10,600.0,Electricity,10,102.0,0.0,32.0,0.0,41185,False,0.0
98,2019,Tesla,Model 3 Long Range,0.0624,10.0,136.0,0.0,24.0,0.0,0.0,130.0,25.0,0.0,0.0,,10,550.0,Electricity,10,123.0,0.0,27.0,0.0,41189,False,8.0
99,2019,Tesla,Model 3 Long Range AWD Performance,0.0696,10.0,120.0,0.0,27.0,0.0,0.0,116.0,28.0,0.0,0.0,,10,600.0,Electricity,10,111.0,0.0,30.0,0.0,41191,False,8.0
100,2021,Tesla,Model 3 Performance AWD,0.072,11.0,117.0,0.0,28.0,0.0,0.0,112.0,29.0,0.0,0.0,,10,650.0,Electricity,10,106.0,0.0,31.0,0.0,43402,False,9.0
101,2021,Ford,Mustang Mach-E AWD,0.0864,8.0,99.0,0.0,33.0,0.0,0.0,92.0,36.0,0.0,0.0,,10,750.0,Electricity,10,85.0,0.0,39.0,0.0,43602,False,0.0
