Year,Manufacturer,Model,barrels08,charge240,city08U,cityCD,cityE,cityUF,co2,comb08U,combE,combinedCD,combinedUF,cylinders,feScore,fuelCost08,fuelType1,ghgScore,highway08U,highwayCD,highwayE,highwayUF,id,phevBlended,charge240b
2017,Cadillac,CTS AWD,12.39625,0.0,21.0,0.0,0.0,0.0,368.0,24.0,0.0,0.0,0.0,4.0,5,2700.0,Premium Gasoline,5,29.0,0.0,0.0,0.0,37926,False,0.0
2017,BMW,330i xDrive Sports Wagon,11.44269231,0.0,22.0,0.0,0.0,0.0,335.0,26.0,0.0,0.0,0.0,4.0,6,2500.0,Premium Gasoline,6,32.0,0.0,0.0,0.0,37939,False,0.0
2017,Chevrolet,Sonic 5,9.917,0.0,26.0,0.0,0.0,0.0,295.0,30.0,0.0,0.0,0.0,4.0,7,1750.0,Regular Gasoline,7,35.0,0.0,0.0,0.0,37942,False,0.0
2017,Chevrolet,Sonic 5,9.2971875,0.0,28.0,0.0,0.0,0.0,281.0,31.0,0.0,0.0,0.0,4.0,7,1650.0,Regular Gasoline,7,37.0,0.0,0.0,0.0,37943,False,0.0
2017,BMW,440i Coupe,11.9004,0.0,21.0,0.0,0.0,0.0,358.0,25.0,0.0,0.0,0.0,6.0,5,2600.0,Premium Gasoline,5,31.0,0.0,0.0,0.0,37968,False,0.0
2017,Volkswagen,GTI,11.01888889,0.0,24.0,0.0,0.0,0.0,325.0,27.0,0.0,0.0,0.0,4.0,6,1950.0,Regular Gasoline,6,32.0,0.0,0.0,0.0,37972,False,0.0
2017,Volkswagen,Jetta,10.25896552,0.0,25.0,0.0,0.0,0.0,311.0,28.0,0.0,0.0,0.0,4.0,7,1850.0,Regular Gasoline,7,34.0,0.0,0.0,0.0,37976,False,0.0
2017,Volkswagen,Golf,10.25896552,0.0,25.0,0.0,0.0,0.0,305.0,29.0,0.0,0.0,0.0,4.0,7,1850.0,Regular Gasoline,7,35.0,0.0,0.0,0.0,37978,False,0.0
2017,Infiniti,QX50,14.8755,0.0,17.0,0.0,0.0,0.0,445.0,19.0,0.0,0.0,0.0,6.0,4,3250.0,Premium Gasoline,4,24.0,0.0,0.0,0.0,37980,False,0.0
2017,BMW,340i,12.93521739,0.0,19.0,0.0,0.0,0.0,395.0,22.0,0.0,0.0,0.0,6.0,5,2850.0,Premium Gasoline,5,29.0,0.0,0.0,0.0,38014,False,0.0
