day,trips
2021-05-02 00:00:00.000000 UTC,62236
2021-05-03 00:00:00.000000 UTC,79258
2021-05-04 00:00:00.000000 UTC,84438
2021-05-05 00:00:00.000000 UTC,90791
2021-05-06 00:00:00.000000 UTC,92478
2021-05-07 00:00:00.000000 UTC,96080
2021-05-08 00:00:00.000000 UTC,81693
2021-05-09 00:00:00.000000 UTC,66169
2021-05-10 00:00:00.000000 UTC,77568
2021-05-11 00:00:00.000000 UTC,86516
2021-05-12 00:00:00.000000 UTC,90264
2021-05-13 00:00:00.000000 UTC,84379
2021-05-14 00:00:00.000000 UTC,95615
2021-05-15 00:00:00.000000 UTC,90693
2021-05-16 00:00:00.000000 UTC,67729
2021-05-17 00:00:00.000000 UTC,76736
2021-05-18 00:00:00.000000 UTC,87275
2021-05-19 00:00:00.000000 UTC,93424
2021-05-20 00:00:00.000000 UTC,95434
2021-05-21 00:00:00.000000 UTC,97334
2021-05-22 00:00:00.000000 UTC,94994
2021-05-23 00:00:00.000000 UTC,72878
2021-05-24 00:00:00.000000 UTC,83648
2021-05-25 00:00:00.000000 UTC,90925
2021-05-26 00:00:00.000000 UTC,96016
2021-05-27 00:00:00.000000 UTC,94966
2021-05-28 00:00:00.000000 UTC,90386
2021-05-29 00:00:00.000000 UTC,66302
2021-05-30 00:00:00.000000 UTC,55352
2021-05-31 00:00:00.000000 UTC,57952
2021-06-01 00:00:00.000000 UTC,88209
2021-06-02 00:00:00.000000 UTC,94822
2021-06-03 00:00:00.000000 UTC,98830
2021-06-04 00:00:00.000000 UTC,97931
2021-06-05 00:00:00.000000 UTC,99778
2021-06-06 00:00:00.000000 UTC,78869
2021-06-07 00:00:00.000000 UTC,90990
2021-06-08 00:00:00.000000 UTC,96751
2021-06-09 00:00:00.000000 UTC,101707
2021-06-10 00:00:00.000000 UTC,106329
2021-06-11 00:00:00.000000 UTC,100319
2021-06-12 00:00:00.000000 UTC,95582
2021-06-13 00:00:00.000000 UTC,75111
2021-06-14 00:00:00.000000 UTC,88905
2021-06-15 00:00:00.000000 UTC,100109
2021-06-16 00:00:00.000000 UTC,104201
2021-06-17 00:00:00.000000 UTC,105199
2021-06-18 00:00:00.000000 UTC,100985
2021-06-19 00:00:00.000000 UTC,98118
2021-06-20 00:00:00.000000 UTC,79214
2021-06-21 00:00:00.000000 UTC,92846
2021-06-22 00:00:00.000000 UTC,101001
2021-06-23 00:00:00.000000 UTC,104891
2021-06-24 00:00:00.000000 UTC,106739
2021-06-25 00:00:00.000000 UTC,105351
2021-06-26 00:00:00.000000 UTC,100356
2021-06-27 00:00:00.000000 UTC,78715
2021-06-28 00:00:00.000000 UTC,93471
2021-06-29 00:00:00.000000 UTC,103187
2021-06-30 00:00:00.000000 UTC,103845
2021-07-01 00:00:00.000000 UTC,96048
2021-07-02 00:00:00.000000 UTC,89648
2021-07-03 00:00:00.000000 UTC,72425
2021-07-04 00:00:00.000000 UTC,61724
2021-07-05 00:00:00.000000 UTC,65707
2021-07-06 00:00:00.000000 UTC,91484
2021-07-07 00:00:00.000000 UTC,99387
2021-07-08 00:00:00.000000 UTC,96773
2021-07-09 00:00:00.000000 UTC,95430
2021-07-10 00:00:00.000000 UTC,95679
2021-07-11 00:00:00.000000 UTC,77140
2021-07-12 00:00:00.000000 UTC,86542
2021-07-13 00:00:00.000000 UTC,98484
2021-07-14 00:00:00.000000 UTC,106886
2021-07-15 00:00:00.000000 UTC,108226
2021-07-16 00:00:00.000000 UTC,105003
2021-07-17 00:00:00.000000 UTC,96801
2021-07-18 00:00:00.000000 UTC,78592
2021-07-19 00:00:00.000000 UTC,90766
2021-07-20 00:00:00.000000 UTC,93695
2021-07-21 00:00:00.000000 UTC,100142
2021-07-22 00:00:00.000000 UTC,105958
2021-07-23 00:00:00.000000 UTC,101112
2021-07-24 00:00:00.000000 UTC,94780
2021-07-25 00:00:00.000000 UTC,76657
2021-07-26 00:00:00.000000 UTC,91324
2021-07-27 00:00:00.000000 UTC,101455
2021-07-28 00:00:00.000000 UTC,101839
2021-07-29 00:00:00.000000 UTC,102025
2021-07-30 00:00:00.000000 UTC,101209
2021-07-31 00:00:00.000000 UTC,95260
2021-08-01 00:00:00.000000 UTC,74195
2021-08-02 00:00:00.000000 UTC,85300
2021-08-03 00:00:00.000000 UTC,95873
2021-08-04 00:00:00.000000 UTC,99875
2021-08-05 00:00:00.000000 UTC,101489
2021-08-06 00:00:00.000000 UTC,99826
2021-08-07 00:00:00.000000 UTC,92405
2021-08-08 00:00:00.000000 UTC,75678
2021-08-09 00:00:00.000000 UTC,84773
2021-08-10 00:00:00.000000 UTC,98478
2021-08-11 00:00:00.000000 UTC,102938
2021-08-12 00:00:00.000000 UTC,101255
2021-08-13 00:00:00.000000 UTC,101237
2021-08-14 00:00:00.000000 UTC,93072
2021-08-15 00:00:00.000000 UTC,77985
2021-08-16 00:00:00.000000 UTC,84197
2021-08-17 00:00:00.000000 UTC,93684
2021-08-18 00:00:00.000000 UTC,97792
2021-08-19 00:00:00.000000 UTC,101529
2021-08-20 00:00:00.000000 UTC,101308
2021-08-21 00:00:00.000000 UTC,100557
2021-08-22 00:00:00.000000 UTC,53832
2021-08-23 00:00:00.000000 UTC,82885
2021-08-24 00:00:00.000000 UTC,95745
2021-08-25 00:00:00.000000 UTC,100416
2021-08-26 00:00:00.000000 UTC,103369
2021-08-27 00:00:00.000000 UTC,98584
2021-08-28 00:00:00.000000 UTC,90330
2021-08-29 00:00:00.000000 UTC,74100
2021-08-30 00:00:00.000000 UTC,86101
2021-08-31 00:00:00.000000 UTC,95798
2021-09-01 00:00:00.000000 UTC,90252
2021-09-02 00:00:00.000000 UTC,94954
2021-09-03 00:00:00.000000 UTC,97770
2021-09-04 00:00:00.000000 UTC,90112
2021-09-05 00:00:00.000000 UTC,75468
2021-09-06 00:00:00.000000 UTC,72988
2021-09-07 00:00:00.000000 UTC,90813
2021-09-08 00:00:00.000000 UTC,104582
2021-09-09 00:00:00.000000 UTC,108232
2021-09-10 00:00:00.000000 UTC,112129
2021-09-11 00:00:00.000000 UTC,109485
2021-09-12 00:00:00.000000 UTC,88627
2021-09-13 00:00:00.000000 UTC,97943
2021-09-14 00:00:00.000000 UTC,104633
2021-09-15 00:00:00.000000 UTC,109347
2021-09-16 00:00:00.000000 UTC,104702
2021-09-17 00:00:00.000000 UTC,113281
2021-09-18 00:00:00.000000 UTC,113601
2021-09-19 00:00:00.000000 UTC,89840
2021-09-20 00:00:00.000000 UTC,94257
2021-09-21 00:00:00.000000 UTC,102080
2021-09-22 00:00:00.000000 UTC,108134
2021-09-23 00:00:00.000000 UTC,106697
2021-09-24 00:00:00.000000 UTC,112060
2021-09-25 00:00:00.000000 UTC,114977
2021-09-26 00:00:00.000000 UTC,92833
2021-09-27 00:00:00.000000 UTC,95620
2021-09-28 00:00:00.000000 UTC,103255
2021-09-29 00:00:00.000000 UTC,110576
2021-09-30 00:00:00.000000 UTC,117730
2021-10-01 00:00:00.000000 UTC,119727
2021-10-02 00:00:00.000000 UTC,117113
2021-10-03 00:00:00.000000 UTC,92718
2021-10-04 00:00:00.000000 UTC,99125
2021-10-05 00:00:00.000000 UTC,108989
2021-10-06 00:00:00.000000 UTC,115480
2021-10-07 00:00:00.000000 UTC,121010
2021-10-08 00:00:00.000000 UTC,122701
2021-10-09 00:00:00.000000 UTC,118643
2021-10-10 00:00:00.000000 UTC,95311
2021-10-11 00:00:00.000000 UTC,88839
2021-10-12 00:00:00.000000 UTC,110176
2021-10-13 00:00:00.000000 UTC,115000
2021-10-14 00:00:00.000000 UTC,124464
2021-10-15 00:00:00.000000 UTC,126768
2021-10-16 00:00:00.000000 UTC,123835
2021-10-17 00:00:00.000000 UTC,102402
2021-10-18 00:00:00.000000 UTC,106265
2021-10-19 00:00:00.000000 UTC,113232
2021-10-20 00:00:00.000000 UTC,121647
2021-10-21 00:00:00.000000 UTC,125410
2021-10-22 00:00:00.000000 UTC,125643
2021-10-23 00:00:00.000000 UTC,121880
2021-10-24 00:00:00.000000 UTC,100640
2021-10-25 00:00:00.000000 UTC,102226
2021-10-26 00:00:00.000000 UTC,103960
2021-10-27 00:00:00.000000 UTC,122407
2021-10-28 00:00:00.000000 UTC,128493
2021-10-29 00:00:00.000000 UTC,133370
2021-10-30 00:00:00.000000 UTC,121575
2021-10-31 00:00:00.000000 UTC,104027
2021-11-01 00:00:00.000000 UTC,108977
2021-11-02 00:00:00.000000 UTC,118071
2021-11-03 00:00:00.000000 UTC,124433
2021-11-04 00:00:00.000000 UTC,130666
2021-11-05 00:00:00.000000 UTC,132434
2021-11-06 00:00:00.000000 UTC,133572
2021-11-07 00:00:00.000000 UTC,102070
2021-11-08 00:00:00.000000 UTC,109124
2021-11-09 00:00:00.000000 UTC,120953
2021-11-10 00:00:00.000000 UTC,129059
2021-11-11 00:00:00.000000 UTC,126078
2021-11-12 00:00:00.000000 UTC,130684
2021-11-13 00:00:00.000000 UTC,134516
2021-11-14 00:00:00.000000 UTC,111440
2021-11-15 00:00:00.000000 UTC,117337
2021-11-16 00:00:00.000000 UTC,125002
2021-11-17 00:00:00.000000 UTC,128955
2021-11-18 00:00:00.000000 UTC,136047
2021-11-19 00:00:00.000000 UTC,138109
2021-11-20 00:00:00.000000 UTC,133519
2021-11-21 00:00:00.000000 UTC,106986
2021-11-22 00:00:00.000000 UTC,114937
2021-11-23 00:00:00.000000 UTC,122908
2021-11-24 00:00:00.000000 UTC,110857
2021-11-25 00:00:00.000000 UTC,71964
2021-11-26 00:00:00.000000 UTC,90973
2021-11-27 00:00:00.000000 UTC,105769
2021-11-28 00:00:00.000000 UTC,92212
2021-11-29 00:00:00.000000 UTC,109216
2021-11-30 00:00:00.000000 UTC,121666
2021-12-01 00:00:00.000000 UTC,124339
2021-12-02 00:00:00.000000 UTC,130843
2021-12-03 00:00:00.000000 UTC,138678
2021-12-04 00:00:00.000000 UTC,134382
2021-12-05 00:00:00.000000 UTC,111436
2021-12-06 00:00:00.000000 UTC,114652
2021-12-07 00:00:00.000000 UTC,128686
2021-12-08 00:00:00.000000 UTC,133455
2021-12-09 00:00:00.000000 UTC,136544
2021-12-10 00:00:00.000000 UTC,135522
2021-12-11 00:00:00.000000 UTC,132346
2021-12-12 00:00:00.000000 UTC,108784
2021-12-13 00:00:00.000000 UTC,112961
2021-12-14 00:00:00.000000 UTC,121747
2021-12-15 00:00:00.000000 UTC,127550
2021-12-16 00:00:00.000000 UTC,128216
2021-12-17 00:00:00.000000 UTC,126083
2021-12-18 00:00:00.000000 UTC,111709
2021-12-19 00:00:00.000000 UTC,92485
2021-12-20 00:00:00.000000 UTC,95935
2021-12-21 00:00:00.000000 UTC,94765
2021-12-22 00:00:00.000000 UTC,93315
2021-12-23 00:00:00.000000 UTC,89357
2021-12-24 00:00:00.000000 UTC,70706
2021-12-25 00:00:00.000000 UTC,41628
2021-12-26 00:00:00.000000 UTC,55719
2021-12-27 00:00:00.000000 UTC,70749
2021-12-28 00:00:00.000000 UTC,75831
2021-12-29 00:00:00.000000 UTC,75862
2021-12-30 00:00:00.000000 UTC,78842
2021-12-31 00:00:00.000000 UTC,71280
