Country,Energy_type,Year,Energy_consumption,Energy_production,GDP,Population,Energy_intensity_per_capita,Energy_intensity_by_GDP,CO2_emission
United States,all_energy_types,2000,98.702224163,71.270590246,13754.31,282054.2,349.9406290103108,7.176094196146517,5700.252865
United States,coal,2000,22.579528056,22.735477641,13754.31,282054.2,349.9406290103108,7.176094196146517,2061.622698
United States,natural_gas,2000,23.823976776,19.661529395,13754.31,282054.2,349.9406290103108,7.176094196146517,1196.935249
United States,petroleum_n_other_liquids,2000,38.291877775,14.90956652,13754.31,282054.2,349.9406290103108,7.176094196146517,2441.694918
United States,nuclear,2000,7.862349471,7.862349471,13754.31,282054.2,349.9406290103108,7.176094196146517,0.0
United States,renewables_n_other,2000,6.104233701,6.101667219,13754.31,282054.2,349.9406290103108,7.176094196146517,0.0
United States,all_energy_types,2001,96.063733749,71.675370986,13885.56,284871.2,337.2181313835867,6.918246995367849,5888.592478
United States,coal,2001,21.914268291,23.547079589,13885.56,284871.2,337.2181313835867,6.918246995367849,2154.743112
United States,natural_gas,2001,22.772557773,20.165567253,13885.56,284871.2,337.2181313835867,6.918246995367849,1246.049927
United States,petroleum_n_other_liquids,2001,38.232692653,14.772098514,13885.56,284871.2,337.2181313835867,6.918246995367849,2487.799439
United States,nuclear,2001,8.028853134,8.028853134,13885.56,284871.2,337.2181313835867,6.918246995367849,0.0
United States,renewables_n_other,2001,5.15996636,5.161772496,13885.56,284871.2,337.2181313835867,6.918246995367849,0.0
United States,all_energy_types,2002,97.535390886,70.653041629,14121.05,287542.8,339.2030365079564,6.907091957467752,5777.788286
United States,coal,2002,21.903989304,22.732236982,14121.05,287542.8,339.2030365079564,6.907091957467752,2087.256256
United States,natural_gas,2002,23.510080922,19.382055162,14121.05,287542.8,339.2030365079564,6.907091957467752,1191.759702
United States,petroleum_n_other_liquids,2002,38.295428778,14.662418785,14121.05,287542.8,339.2030365079564,6.907091957467752,2498.772328
United States,nuclear,2002,8.145429196,8.145429196,14121.05,287542.8,339.2030365079564,6.907091957467752,0.0
United States,renewables_n_other,2002,5.726116034,5.730901504,14121.05,287542.8,339.2030365079564,6.907091957467752,0.0
United States,all_energy_types,2003,97.834773192,69.884672199,14515.9,290065.2,337.28545579407665,6.739835159514739,5820.025298
United States,coal,2003,22.320927965,22.093652258,14515.9,290065.2,337.28545579407665,6.739835159514739,2092.877119
United States,natural_gas,2003,22.830642206,19.633303711,14515.9,290065.2,337.28545579407665,6.739835159514739,1231.52727
United States,petroleum_n_other_liquids,2003,38.948532283,14.255627525,14515.9,290065.2,337.28545579407665,6.739835159514739,2495.620909
United States,nuclear,2003,7.959622147,7.959622147,14515.9,290065.2,337.28545579407665,6.739835159514739,0.0
United States,renewables_n_other,2003,5.944159929,5.942466558,14515.9,290065.2,337.28545579407665,6.739835159514739,0.0
