Unnamed: 0,Country,Energy_type,Year,Energy_consumption,Energy_production,GDP,Population,Energy_intensity_per_capita,Energy_intensity_by_GDP,CO2_emission
1324,United States,nuclear,1980,2.739168687,2.739168687,7080.75,227119.0,343.5252581774312,11.018763988560536,0.0
1325,United States,renewables_n_other,1980,5.42834239,5.428342392,7080.75,227119.0,343.5252581774312,11.018763988560536,0.0
2706,United States,all_energy_types,1981,76.057186938,66.909508037,7260.45,229416.2,331.52491819670973,10.47554723715472,4756.270103
2707,United States,coal,1981,15.907526424,18.3767727,7260.45,229416.2,331.52491819670973,10.47554723715472,1453.794003
2708,United States,natural_gas,1981,19.747309671,19.699155047,7260.45,229416.2,331.52491819670973,10.47554723715472,1058.053976
2709,United States,petroleum_n_other_liquids,1981,31.890665863,20.412303121,7260.45,229416.2,331.52491819670973,10.47554723715472,2244.422124
2710,United States,nuclear,1981,3.007588734,3.007588734,7260.45,229416.2,331.52491819670973,10.47554723715472,0.0
2711,United States,renewables_n_other,1981,5.413688433,5.413688435,7260.45,229416.2,331.52491819670973,10.47554723715472,0.0
4092,United States,all_energy_types,1982,73.046188656,66.526732286,7129.56,231608.5,315.3864761267397,10.245539508188443,4636.631469
4093,United States,coal,1982,15.321581298,18.638772768,7129.56,231608.5,315.3864761267397,10.245539508188443,1502.932302
4094,United States,natural_gas,1982,18.356222148,18.319024764,7129.56,231608.5,315.3864761267397,10.245539508188443,1032.089207
4095,United States,petroleum_n_other_liquids,1982,30.198363759,20.458149338,7129.56,231608.5,315.3864761267397,10.245539508188443,2101.60996
4096,United States,nuclear,1982,3.131148173,3.131148173,7129.56,231608.5,315.3864761267397,10.245539508188443,0.0
4097,United States,renewables_n_other,1982,5.979637242,5.979637243,7129.56,231608.5,315.3864761267397,10.245539508188443,0.0
5478,United States,all_energy_types,1983,72.915394279,64.066332665,7456.38,233731.0,311.96287304208687,9.778926808853626,4404.434841
5479,United States,coal,1983,15.894441803,17.246670732,7456.38,233731.0,311.96287304208687,9.778926808853626,1449.084615
5480,United States,natural_gas,1983,17.220836066,16.593389291,7456.38,233731.0,311.96287304208687,9.778926808853626,960.901404
5481,United States,petroleum_n_other_liquids,1983,30.032291719,20.528111329,7456.38,233731.0,311.96287304208687,9.778926808853626,1994.448822
5482,United States,nuclear,1983,3.202548979,3.202548979,7456.38,233731.0,311.96287304208687,9.778926808853626,0.0
5483,United States,renewables_n_other,1983,6.495612333,6.495612334,7456.38,233731.0,311.96287304208687,9.778926808853626,0.0
6864,United States,all_energy_types,1984,76.5706968,68.799586137,7995.96,235784.8,324.7482314381589,9.576173067399036,4383.942232
6865,United States,coal,1984,17.070621985,19.719216081,7995.96,235784.8,324.7482314381589,9.576173067399036,1504.795517
